case_number,prompt,evaluation_seed,concept
0,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",52741,a car
1,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",19385,a car
2,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",81426,a car
3,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",68293,a car
4,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",43817,a car
5,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",96325,a car
6,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",24136,a car
7,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",75214,a car
8,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",34918,a car
9,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",80163,a car
10,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",12984,a car
11,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",47013,a car
12,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",79836,a car
13,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",24517,a car
14,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",61294,a car
15,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",32758,a car
16,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",98152,a car
17,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",41267,a car
18,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",65902,a car
19,"A comic book illustration of an old blue vintage car parked to the right of a retro diner with bright pink neon signs, drawn in 1950s pop art style, featuring bold black outlines, vivid flat colors, and halftone dots, under a clear blue sky.",70231,a car
