case_number,prompt,evaluation_seed,concept
0,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",54729,an apple
1,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",32841,an apple
2,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",67203,an apple
3,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",95412,an apple
4,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",11674,an apple
5,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",78924,an apple
6,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",23591,an apple
7,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",87302,an apple
8,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",46718,an apple
9,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",71035,an apple
10,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",59813,an apple
11,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",18240,an apple
12,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",90562,an apple
13,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",34780,an apple
14,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",62193,an apple
15,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",75913,an apple
16,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",40128,an apple
17,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",28974,an apple
18,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",93741,an apple
19,"Three green apples arranged in a row on a wooden table with a glass of water to the left.",51236,an apple
